Port Name,State,Port Code,Border,Date,Measure,Value
Alcan,AK,3104,US-Canada Border,2/1/2020 00:00,Personal Vehicle Passengers,1414
Alcan,AK,3104,US-Canada Border,2/1/2020 00:00,Personal Vehicles,763
Alcan,AK,3104,US-Canada Border,2/1/2020 00:00,Truck Containers Empty,412
Alcan,AK,3104,US-Canada Border,2/1/2020 00:00,Truck Containers Full,122
Alcan,AK,3104,US-Canada Border,2/1/2020 00:00,Trucks,545
Alexandria Bay,NY,708,US-Canada Border,2/1/2020 00:00,Bus Passengers,1174
Alexandria Bay,NY,708,US-Canada Border,2/1/2020 00:00,Buses,36
Alexandria Bay,NY,708,US-Canada Border,2/1/2020 00:00,Personal Vehicle Passengers,68630
Alexandria Bay,NY,708,US-Canada Border,2/1/2020 00:00,Personal Vehicles,31696
Alexandria Bay,NY,708,US-Canada Border,2/1/2020 00:00,Truck Containers Empty,1875
Alexandria Bay,NY,708,US-Canada Border,2/1/2020 00:00,Truck Containers Full,13160
Alexandria Bay,NY,708,US-Canada Border,2/1/2020 00:00,Trucks,14897
Algonac,MI,3814,US-Canada Border,2/1/2020 00:00,Personal Vehicle Passengers,5173
Algonac,MI,3814,US-Canada Border,2/1/2020 00:00,Personal Vehicles,2701
Ambrose,ND,3410,US-Canada Border,2/1/2020 00:00,Personal Vehicle Passengers,274
Ambrose,ND,3410,US-Canada Border,2/1/2020 00:00,Personal Vehicles,129
Ambrose,ND,3410,US-Canada Border,2/1/2020 00:00,Truck Containers Empty,2
Ambrose,ND,3410,US-Canada Border,2/1/2020 00:00,Trucks,2
Andrade,CA,2502,US-Mexico Border,2/1/2020 00:00,Pedestrians,115655
Andrade,CA,2502,US-Mexico Border,2/1/2020 00:00,Personal Vehicle Passengers,82972
Andrade,CA,2502,US-Mexico Border,2/1/2020 00:00,Personal Vehicles,44277
Antler,ND,3413,US-Canada Border,2/1/2020 00:00,Personal Vehicle Passengers,911
Antler,ND,3413,US-Canada Border,2/1/2020 00:00,Personal Vehicles,451
Antler,ND,3413,US-Canada Border,2/1/2020 00:00,Truck Containers Empty,136
Antler,ND,3413,US-Canada Border,2/1/2020 00:00,Trucks,140